100 287
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0100    287
90  277
80  272
70  264
60  254
50  237
40  214
30  97
25  70.8
20  57
15  43.8
10  28.3
5   9.35
0   0
